timestamp panPosition tiltPosition panCtrlType panSetValue tiltCtrlType tiltSetValue local.lat local.lon local.elev object.lat object.lon object.elev object.x object.y object.z estObject.x estObject.y estObject.z estObject.lat estObject.lon estObject.elev 
1426593821.894 3167547 9344 2 118.867 2 10.7138 47.6028605 8.5340172 421.597 47.6040477 8.5337567 443.19 -9.79104 113.759 17.262 -7.56779 103.886 19.7076 47.6037948109594 8.53391656473688 441.305405873738 
1426593822.095 3167029 8669 2 119.149 2 11.5029 47.6028605 8.5340172 421.597 47.6037714 8.5339053 435.828 -9.79104 113.759 17.262 -6.82871 100.604 20.5205 47.6037652950068 8.53392639285692 442.118330799335 
1426593822.295 3166961 10038 2 119.451 2 12.3411 47.6028604 8.5340165 421.591 47.6037714 8.5339053 435.828 -9.79104 113.759 17.262 -6.08917 97.3205 21.334 47.6037356601477 8.53393552726137 442.925778429338 
1426593822.495 3167400 12461 2 119.774 2 13.2317 47.6028606 8.5340159 421.546 47.6037714 8.5339053 435.828 -9.79104 113.759 17.262 -5.34998 94.0381 22.1471 47.6037063396333 8.53394475687877 443.69383306932 
1426593822.695 3168288 13907 2 120.121 2 14.1795 47.602861 8.5340155 421.541 47.6037714 8.5339053 435.828 -9.79104 113.759 17.262 -4.61102 90.7567 22.96 47.6036772278381 8.53395418358005 444.501649372079 
1426593822.895 3168639 14844 2 120.496 2 15.1964 47.602861 8.5340152 421.526 47.6037714 8.5339053 435.828 -9.79104 113.759 17.262 -3.86731 87.4542 23.7781 47.6036475267636 8.53396377329607 445.304680827981 
1426593823.095 3169014 15903 2 120.9 2 16.2793 47.6028608 8.5340153 421.452 47.6037714 8.5339053 435.828 -9.79104 113.759 17.262 -3.12546 84.16 24.5941 47.6036177000285 8.5339737382496 446.046666983865 
1426593823.295 3169440 17011 2 115.057 2 9.46153 47.6028604 8.5340152 421.417 47.6037714 8.5339053 435.828 -10.8815 77.544 13.0495 -10.8815 77.544 13.0495 47.6035578 8.5338705 434.467 
1426593823.495 3168925 17363 2 114.197 2 9.91363 47.6028601 8.5340148 421.411 47.6037714 8.5339053 435.828 -10.8815 77.544 13.0495 -11.5227 74.0024 13.0895 47.6035256475898 8.53386157332143 434.500910199142 
1426593823.695 3166292 15991 2 113.252 2 10.4064 47.6028597 8.5340142 421.419 47.6037714 8.5339053 435.828 -10.8815 77.544 13.0495 -12.1659 70.4497 13.1295 47.6034932966335 8.53385242027449 434.54894591531 
1426593823.895 3163718 12876 2 112.216 2 10.9418 47.6028592 8.5340138 421.355 47.6037714 8.5339053 435.828 -10.8815 77.544 13.0495 -12.8075 66.906 13.1695 47.603460925412 8.5338434885793 434.524883766384 
1426593824.095 3163269 10458 2 111.075 2 11.5253 47.6028592 8.5340138 421.355 47.6037714 8.5339053 435.828 -10.8815 77.544 13.0495 -13.4479 63.3688 13.2094 47.6034291138204 8.53383497285896 434.56474891709 
1426593824.295 3162255 9610 2 109.8 2 12.1685 47.6028592 8.5340138 421.355 47.6037714 8.5339053 435.828 -10.8815 77.544 13.0495 -14.0927 59.8073 13.2496 47.6033970829756 8.53382639845685 434.604890875745 
